identity_id,arcface_path,facenet_path
Justine_Pasek,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Justine_Pasek\Justine_Pasek_0001.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Justine_Pasek\Justine_Pasek_0001.png
Justine_Pasek,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Justine_Pasek\Justine_Pasek_0003.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Justine_Pasek\Justine_Pasek_0003.png
Justine_Pasek,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Justine_Pasek\Justine_Pasek_0005.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Justine_Pasek\Justine_Pasek_0005.png
Justine_Pasek,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Justine_Pasek\Justine_Pasek_0006.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Justine_Pasek\Justine_Pasek_0006.png
Justine_Pasek,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Justine_Pasek\Justine_Pasek_0007.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Justine_Pasek\Justine_Pasek_0007.png
Allyson_Felix,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Allyson_Felix\Allyson_Felix_0001.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Allyson_Felix\Allyson_Felix_0001.png
Allyson_Felix,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Allyson_Felix\Allyson_Felix_0002.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Allyson_Felix\Allyson_Felix_0002.png
Allyson_Felix,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Allyson_Felix\Allyson_Felix_0003.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Allyson_Felix\Allyson_Felix_0003.png
Allyson_Felix,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Allyson_Felix\Allyson_Felix_0004.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Allyson_Felix\Allyson_Felix_0004.png
Allyson_Felix,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Allyson_Felix\Allyson_Felix_0005.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Allyson_Felix\Allyson_Felix_0005.png
Hitomi_Soga,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Hitomi_Soga\Hitomi_Soga_0001.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Hitomi_Soga\Hitomi_Soga_0001.png
Hitomi_Soga,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Hitomi_Soga\Hitomi_Soga_0002.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Hitomi_Soga\Hitomi_Soga_0002.png
Hitomi_Soga,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Hitomi_Soga\Hitomi_Soga_0003.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Hitomi_Soga\Hitomi_Soga_0003.png
Hitomi_Soga,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Hitomi_Soga\Hitomi_Soga_0004.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Hitomi_Soga\Hitomi_Soga_0004.png
Hitomi_Soga,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Hitomi_Soga\Hitomi_Soga_0005.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Hitomi_Soga\Hitomi_Soga_0005.png
Mariah_Carey,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Mariah_Carey\Mariah_Carey_0001.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Mariah_Carey\Mariah_Carey_0001.png
Mariah_Carey,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Mariah_Carey\Mariah_Carey_0002.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Mariah_Carey\Mariah_Carey_0002.png
Mariah_Carey,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Mariah_Carey\Mariah_Carey_0003.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Mariah_Carey\Mariah_Carey_0003.png
Mariah_Carey,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Mariah_Carey\Mariah_Carey_0005.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Mariah_Carey\Mariah_Carey_0005.png
Mariah_Carey,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Mariah_Carey\Mariah_Carey_0006.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Mariah_Carey\Mariah_Carey_0006.png
Marco_Antonio_Barrera,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0001.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0001.png
Marco_Antonio_Barrera,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0002.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0002.png
Marco_Antonio_Barrera,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0003.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0003.png
Marco_Antonio_Barrera,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0004.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0004.png
Marco_Antonio_Barrera,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0005.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0005.png
Vaclav_Havel,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vaclav_Havel\Vaclav_Havel_0001.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Vaclav_Havel\Vaclav_Havel_0001.png
Vaclav_Havel,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vaclav_Havel\Vaclav_Havel_0002.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Vaclav_Havel\Vaclav_Havel_0002.png
Vaclav_Havel,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vaclav_Havel\Vaclav_Havel_0003.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Vaclav_Havel\Vaclav_Havel_0003.png
Vaclav_Havel,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vaclav_Havel\Vaclav_Havel_0007.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Vaclav_Havel\Vaclav_Havel_0007.png
Vaclav_Havel,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vaclav_Havel\Vaclav_Havel_0009.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Vaclav_Havel\Vaclav_Havel_0009.png
Bill_Simon,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Bill_Simon\Bill_Simon_0004.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Bill_Simon\Bill_Simon_0004.png
Bill_Simon,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Bill_Simon\Bill_Simon_0007.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Bill_Simon\Bill_Simon_0007.png
Bill_Simon,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Bill_Simon\Bill_Simon_0011.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Bill_Simon\Bill_Simon_0011.png
Bill_Simon,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Bill_Simon\Bill_Simon_0013.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Bill_Simon\Bill_Simon_0013.png
Bill_Simon,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Bill_Simon\Bill_Simon_0015.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Bill_Simon\Bill_Simon_0015.png
Ahmed_Chalabi,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ahmed_Chalabi\Ahmed_Chalabi_0001.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Ahmed_Chalabi\Ahmed_Chalabi_0001.png
Ahmed_Chalabi,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ahmed_Chalabi\Ahmed_Chalabi_0002.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Ahmed_Chalabi\Ahmed_Chalabi_0002.png
Ahmed_Chalabi,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ahmed_Chalabi\Ahmed_Chalabi_0003.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Ahmed_Chalabi\Ahmed_Chalabi_0003.png
Ahmed_Chalabi,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ahmed_Chalabi\Ahmed_Chalabi_0004.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Ahmed_Chalabi\Ahmed_Chalabi_0004.png
Ahmed_Chalabi,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ahmed_Chalabi\Ahmed_Chalabi_0005.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Ahmed_Chalabi\Ahmed_Chalabi_0005.png
Monica_Seles,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Monica_Seles\Monica_Seles_0001.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Monica_Seles\Monica_Seles_0001.png
Monica_Seles,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Monica_Seles\Monica_Seles_0002.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Monica_Seles\Monica_Seles_0002.png
Monica_Seles,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Monica_Seles\Monica_Seles_0004.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Monica_Seles\Monica_Seles_0004.png
Monica_Seles,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Monica_Seles\Monica_Seles_0005.png,Hybrid-Deepfake-Defense-System\data\lfw\facenet_160\Monica_Seles\Monica_Seles_0005.png
