identity_id,image_path,cosine_sim,asr,ssim,psnr
Ahmed_Chalabi,results/phase2/robustness/downsample/Ahmed_Chalabi_0005_cloaked.png,0.633049,0,0.946196,34.7151
Al_Gore,results/phase2/robustness/downsample/Al_Gore_0002_cloaked.png,0.441268,0,0.950354,37.9044
Al_Gore,results/phase2/robustness/downsample/Al_Gore_0007_cloaked.png,0.609520,0,0.952732,35.1983
Al_Gore,results/phase2/robustness/downsample/Al_Gore_0008_cloaked.png,0.512904,0,0.954974,36.5335
Alastair_Campbell,results/phase2/robustness/downsample/Alastair_Campbell_0004_cloaked.png,0.519690,0,0.956103,37.0767
Alastair_Campbell,results/phase2/robustness/downsample/Alastair_Campbell_0005_cloaked.png,0.473033,0,0.967738,35.6821
Angela_Bassett,results/phase2/robustness/downsample/Angela_Bassett_0004_cloaked.png,0.636631,0,0.966506,33.9316
Antonio_Palocci,results/phase2/robustness/downsample/Antonio_Palocci_0003_cloaked.png,0.745117,0,0.966387,36.8825
Ari_Fleischer,results/phase2/robustness/downsample/Ari_Fleischer_0005_cloaked.png,0.609782,0,0.949543,35.6727
Arnold_Schwarzenegger,results/phase2/robustness/downsample/Arnold_Schwarzenegger_0039_cloaked.png,0.499387,0,0.947758,35.1620
Benazir_Bhutto,results/phase2/robustness/downsample/Benazir_Bhutto_0001_cloaked.png,0.265945,1,0.950587,35.9274
Benazir_Bhutto,results/phase2/robustness/downsample/Benazir_Bhutto_0002_cloaked.png,0.267847,1,0.957250,37.1532
Bertie_Ahern,results/phase2/robustness/downsample/Bertie_Ahern_0005_cloaked.png,0.389142,0,0.962840,37.4353
Bill_Clinton,results/phase2/robustness/downsample/Bill_Clinton_0014_cloaked.png,0.653678,0,0.955649,33.5879
Bill_Clinton,results/phase2/robustness/downsample/Bill_Clinton_0017_cloaked.png,0.448814,0,0.949155,36.9976
Bill_Frist,results/phase2/robustness/downsample/Bill_Frist_0002_cloaked.png,0.653670,0,0.968238,37.9318
Bill_Frist,results/phase2/robustness/downsample/Bill_Frist_0003_cloaked.png,0.526253,0,0.965355,37.5904
Bill_Simon,results/phase2/robustness/downsample/Bill_Simon_0004_cloaked.png,0.525849,0,0.941020,34.0688
Binyamin_Ben-Eliezer,results/phase2/robustness/downsample/Binyamin_Ben-Eliezer_0003_cloaked.png,0.652299,0,0.956944,36.0374
Binyamin_Ben-Eliezer,results/phase2/robustness/downsample/Binyamin_Ben-Eliezer_0006_cloaked.png,0.582287,0,0.953283,35.8229
Bob_Stoops,results/phase2/robustness/downsample/Bob_Stoops_0002_cloaked.png,0.566503,0,0.948581,34.8820
Bob_Stoops,results/phase2/robustness/downsample/Bob_Stoops_0003_cloaked.png,0.522521,0,0.947315,35.3159
Bob_Stoops,results/phase2/robustness/downsample/Bob_Stoops_0005_cloaked.png,0.446650,0,0.949943,36.4894
Carrie-Anne_Moss,results/phase2/robustness/downsample/Carrie-Anne_Moss_0001_cloaked.png,0.441484,0,0.965522,37.3540
Carrie-Anne_Moss,results/phase2/robustness/downsample/Carrie-Anne_Moss_0003_cloaked.png,0.555178,0,0.972561,37.4705
Carrie-Anne_Moss,results/phase2/robustness/downsample/Carrie-Anne_Moss_0005_cloaked.png,0.200582,1,0.953262,34.5120
Celine_Dion,results/phase2/robustness/downsample/Celine_Dion_0007_cloaked.png,0.628637,0,0.970492,36.3223
