identity_id,image_path,l2_dist,asr,ssim,psnr
Ahmed_Chalabi,results/phase2/robustness/downsample_facenet/Ahmed_Chalabi_0005_facenet_cloaked.png,1.514086,1,0.935892,35.6803
Al_Gore,results/phase2/robustness/downsample_facenet/Al_Gore_0002_facenet_cloaked.png,1.650604,1,0.937835,37.8211
Al_Gore,results/phase2/robustness/downsample_facenet/Al_Gore_0007_facenet_cloaked.png,1.566207,1,0.932931,35.9737
Al_Gore,results/phase2/robustness/downsample_facenet/Al_Gore_0008_facenet_cloaked.png,1.794211,1,0.946206,37.5339
Alastair_Campbell,results/phase2/robustness/downsample_facenet/Alastair_Campbell_0004_facenet_cloaked.png,1.637889,1,0.937589,36.8827
Alastair_Campbell,results/phase2/robustness/downsample_facenet/Alastair_Campbell_0005_facenet_cloaked.png,1.570025,1,0.945366,36.4356
Angela_Bassett,results/phase2/robustness/downsample_facenet/Angela_Bassett_0004_facenet_cloaked.png,1.352412,1,0.952070,35.7894
Antonio_Palocci,results/phase2/robustness/downsample_facenet/Antonio_Palocci_0003_facenet_cloaked.png,1.417659,1,0.948929,36.5854
Ari_Fleischer,results/phase2/robustness/downsample_facenet/Ari_Fleischer_0005_facenet_cloaked.png,1.669695,1,0.937318,36.6350
Arnold_Schwarzenegger,results/phase2/robustness/downsample_facenet/Arnold_Schwarzenegger_0039_facenet_cloaked.png,1.670961,1,0.933673,36.0980
Benazir_Bhutto,results/phase2/robustness/downsample_facenet/Benazir_Bhutto_0001_facenet_cloaked.png,1.795180,1,0.942535,36.8396
Benazir_Bhutto,results/phase2/robustness/downsample_facenet/Benazir_Bhutto_0002_facenet_cloaked.png,1.868287,1,0.945133,37.5155
Bertie_Ahern,results/phase2/robustness/downsample_facenet/Bertie_Ahern_0005_facenet_cloaked.png,1.579100,1,0.944208,36.8494
Bill_Clinton,results/phase2/robustness/downsample_facenet/Bill_Clinton_0014_facenet_cloaked.png,1.284909,1,0.949548,35.4793
Bill_Clinton,results/phase2/robustness/downsample_facenet/Bill_Clinton_0017_facenet_cloaked.png,1.585897,1,0.936025,37.1489
Bill_Frist,results/phase2/robustness/downsample_facenet/Bill_Frist_0002_facenet_cloaked.png,1.582253,1,0.943481,37.1308
Bill_Frist,results/phase2/robustness/downsample_facenet/Bill_Frist_0003_facenet_cloaked.png,1.681538,1,0.950943,37.5063
Bill_Simon,results/phase2/robustness/downsample_facenet/Bill_Simon_0004_facenet_cloaked.png,1.672987,1,0.941279,35.8621
Binyamin_Ben-Eliezer,results/phase2/robustness/downsample_facenet/Binyamin_Ben-Eliezer_0003_facenet_cloaked.png,1.453034,1,0.947086,36.7248
Binyamin_Ben-Eliezer,results/phase2/robustness/downsample_facenet/Binyamin_Ben-Eliezer_0006_facenet_cloaked.png,1.425902,1,0.935360,36.2736
Bob_Stoops,results/phase2/robustness/downsample_facenet/Bob_Stoops_0002_facenet_cloaked.png,1.721083,1,0.932624,35.7234
Bob_Stoops,results/phase2/robustness/downsample_facenet/Bob_Stoops_0003_facenet_cloaked.png,1.761761,1,0.934008,36.3071
Bob_Stoops,results/phase2/robustness/downsample_facenet/Bob_Stoops_0005_facenet_cloaked.png,1.731134,1,0.936943,36.7793
Carrie-Anne_Moss,results/phase2/robustness/downsample_facenet/Carrie-Anne_Moss_0001_facenet_cloaked.png,1.785613,1,0.948145,37.2107
Carrie-Anne_Moss,results/phase2/robustness/downsample_facenet/Carrie-Anne_Moss_0003_facenet_cloaked.png,1.746714,1,0.951602,37.1492
Carrie-Anne_Moss,results/phase2/robustness/downsample_facenet/Carrie-Anne_Moss_0005_facenet_cloaked.png,1.713897,1,0.942310,35.7455
Celine_Dion,results/phase2/robustness/downsample_facenet/Celine_Dion_0007_facenet_cloaked.png,1.724043,1,0.957125,36.8340
Celine_Dion,results/phase2/robustness/downsample_facenet/Celine_Dion_0008_facenet_cloaked.png,1.395908,1,0.957678,37.4875
Chanda_Rubin,results/phase2/robustness/downsample_facenet/Chanda_Rubin_0004_facenet_cloaked.png,1.439119,1,0.942942,36.1856
Chanda_Rubin,results/phase2/robustness/downsample_facenet/Chanda_Rubin_0005_facenet_cloaked.png,1.561450,1,0.939332,36.3760
Charles_Taylor,results/phase2/robustness/downsample_facenet/Charles_Taylor_0004_facenet_cloaked.png,1.457774,1,0.942494,34.6271
Charles_Taylor,results/phase2/robustness/downsample_facenet/Charles_Taylor_0006_facenet_cloaked.png,1.431985,1,0.937004,34.3450
Choi_Sung-hong,results/phase2/robustness/downsample_facenet/Choi_Sung-hong_0005_facenet_cloaked.png,1.599935,1,0.941612,37.1213
Claudia_Pechstein,results/phase2/robustness/downsample_facenet/Claudia_Pechstein_0003_facenet_cloaked.png,1.685046,1,0.954045,37.9237
Claudia_Pechstein,results/phase2/robustness/downsample_facenet/Claudia_Pechstein_0004_facenet_cloaked.png,1.433127,1,0.942066,35.6982
Clint_Eastwood,results/phase2/robustness/downsample_facenet/Clint_Eastwood_0002_facenet_cloaked.png,1.737581,1,0.941523,37.7377
David_Beckham,results/phase2/robustness/downsample_facenet/David_Beckham_0014_facenet_cloaked.png,1.680777,1,0.938763,35.7736
David_Beckham,results/phase2/robustness/downsample_facenet/David_Beckham_0015_facenet_cloaked.png,1.817294,1,0.932909,36.0214
Dennis_Hastert,results/phase2/robustness/downsample_facenet/Dennis_Hastert_0003_facenet_cloaked.png,1.560968,1,0.957734,37.5226
Dennis_Hastert,results/phase2/robustness/downsample_facenet/Dennis_Hastert_0006_facenet_cloaked.png,1.369184,1,0.961190,37.9124
Diana_Krall,results/phase2/robustness/downsample_facenet/Diana_Krall_0002_facenet_cloaked.png,1.619704,1,0.948239,36.4374
Dick_Cheney,results/phase2/robustness/downsample_facenet/Dick_Cheney_0002_facenet_cloaked.png,1.614003,1,0.948567,37.0599
Dick_Cheney,results/phase2/robustness/downsample_facenet/Dick_Cheney_0013_facenet_cloaked.png,1.615735,1,0.936725,34.8663
Edmund_Stoiber,results/phase2/robustness/downsample_facenet/Edmund_Stoiber_0001_facenet_cloaked.png,1.502769,1,0.932279,36.4780
Edmund_Stoiber,results/phase2/robustness/downsample_facenet/Edmund_Stoiber_0009_facenet_cloaked.png,1.572756,1,0.942110,36.5229
Eduard_Shevardnadze,results/phase2/robustness/downsample_facenet/Eduard_Shevardnadze_0001_facenet_cloaked.png,1.279611,1,0.933560,34.6455
Eduard_Shevardnadze,results/phase2/robustness/downsample_facenet/Eduard_Shevardnadze_0003_facenet_cloaked.png,1.704489,1,0.929792,36.3137
Edward_Lu,results/phase2/robustness/downsample_facenet/Edward_Lu_0005_facenet_cloaked.png,1.683760,1,0.948542,37.3452
Edward_Lu,results/phase2/robustness/downsample_facenet/Edward_Lu_0006_facenet_cloaked.png,1.496563,1,0.944596,37.2711
Elizabeth_Hurley,results/phase2/robustness/downsample_facenet/Elizabeth_Hurley_0002_facenet_cloaked.png,1.733939,1,0.946986,37.3914
Fernando_Henrique_Cardoso,results/phase2/robustness/downsample_facenet/Fernando_Henrique_Cardoso_0004_facenet_cloaked.png,1.784909,1,0.953038,37.5680
Fernando_Henrique_Cardoso,results/phase2/robustness/downsample_facenet/Fernando_Henrique_Cardoso_0005_facenet_cloaked.png,1.616577,1,0.939416,37.3802
Fernando_Henrique_Cardoso,results/phase2/robustness/downsample_facenet/Fernando_Henrique_Cardoso_0006_facenet_cloaked.png,1.722131,1,0.946209,38.4181
Fernando_Henrique_Cardoso,results/phase2/robustness/downsample_facenet/Fernando_Henrique_Cardoso_0007_facenet_cloaked.png,1.568011,1,0.935938,36.3988
George_Pataki,results/phase2/robustness/downsample_facenet/George_Pataki_0005_facenet_cloaked.png,1.554650,1,0.940882,37.3760
George_W_Bush,results/phase2/robustness/downsample_facenet/George_W_Bush_0439_facenet_cloaked.png,1.591783,1,0.937708,36.1792
Gerry_Adams,results/phase2/robustness/downsample_facenet/Gerry_Adams_0001_facenet_cloaked.png,1.364118,1,0.946004,36.9044
Gerry_Adams,results/phase2/robustness/downsample_facenet/Gerry_Adams_0004_facenet_cloaked.png,1.412804,1,0.947007,35.8388
Gil_de_Ferran,results/phase2/robustness/downsample_facenet/Gil_de_Ferran_0003_facenet_cloaked.png,1.781706,1,0.950968,37.1975
Gil_de_Ferran,results/phase2/robustness/downsample_facenet/Gil_de_Ferran_0004_facenet_cloaked.png,1.829251,1,0.945585,37.4138
Gil_de_Ferran,results/phase2/robustness/downsample_facenet/Gil_de_Ferran_0005_facenet_cloaked.png,1.856010,1,0.949480,38.1357
Gordon_Brown,results/phase2/robustness/downsample_facenet/Gordon_Brown_0004_facenet_cloaked.png,1.505342,1,0.956419,36.6814
Gray_Davis,results/phase2/robustness/downsample_facenet/Gray_Davis_0013_facenet_cloaked.png,1.699127,1,0.932296,36.9454
Gray_Davis,results/phase2/robustness/downsample_facenet/Gray_Davis_0022_facenet_cloaked.png,1.652787,1,0.950951,37.7286
Guillermo_Coria,results/phase2/robustness/downsample_facenet/Guillermo_Coria_0014_facenet_cloaked.png,1.656071,1,0.935647,35.5279
Guillermo_Coria,results/phase2/robustness/downsample_facenet/Guillermo_Coria_0017_facenet_cloaked.png,1.725543,1,0.953568,37.0029
Gwyneth_Paltrow,results/phase2/robustness/downsample_facenet/Gwyneth_Paltrow_0006_facenet_cloaked.png,1.705728,1,0.947299,35.5685
Harrison_Ford,results/phase2/robustness/downsample_facenet/Harrison_Ford_0001_facenet_cloaked.png,1.415151,1,0.940319,34.6951
Hitomi_Soga,results/phase2/robustness/downsample_facenet/Hitomi_Soga_0001_facenet_cloaked.png,1.713136,1,0.947116,38.0495
Holly_Hunter,results/phase2/robustness/downsample_facenet/Holly_Hunter_0004_facenet_cloaked.png,1.678710,1,0.947639,36.6315
Howard_Dean,results/phase2/robustness/downsample_facenet/Howard_Dean_0012_facenet_cloaked.png,1.582544,1,0.932217,35.8416
Hu_Jintao,results/phase2/robustness/downsample_facenet/Hu_Jintao_0010_facenet_cloaked.png,1.610150,1,0.937423,36.8452
Hu_Jintao,results/phase2/robustness/downsample_facenet/Hu_Jintao_0013_facenet_cloaked.png,1.590191,1,0.944850,36.9773
Jackie_Chan,results/phase2/robustness/downsample_facenet/Jackie_Chan_0013_facenet_cloaked.png,1.543747,1,0.947262,36.7442
Jake_Gyllenhaal,results/phase2/robustness/downsample_facenet/Jake_Gyllenhaal_0003_facenet_cloaked.png,1.709034,1,0.944328,37.1885
Jake_Gyllenhaal,results/phase2/robustness/downsample_facenet/Jake_Gyllenhaal_0005_facenet_cloaked.png,1.701274,1,0.942127,37.6240
