identity_id,image_path,cosine_sim,asr,ssim,psnr
Ahmed_Chalabi,results/phase2/robustness/jpeg50/Ahmed_Chalabi_0005_cloaked.png,0.496372,0,0.926208,33.6178
Al_Gore,results/phase2/robustness/jpeg50/Al_Gore_0002_cloaked.png,0.267867,1,0.910199,35.1569
Al_Gore,results/phase2/robustness/jpeg50/Al_Gore_0007_cloaked.png,0.574027,0,0.926299,34.6752
Al_Gore,results/phase2/robustness/jpeg50/Al_Gore_0008_cloaked.png,0.397879,0,0.918986,34.9532
Alastair_Campbell,results/phase2/robustness/jpeg50/Alastair_Campbell_0004_cloaked.png,0.425291,0,0.920789,34.9236
Alastair_Campbell,results/phase2/robustness/jpeg50/Alastair_Campbell_0005_cloaked.png,0.309284,0,0.944954,35.3920
Angela_Bassett,results/phase2/robustness/jpeg50/Angela_Bassett_0004_cloaked.png,0.540201,0,0.949251,34.6970
Antonio_Palocci,results/phase2/robustness/jpeg50/Antonio_Palocci_0003_cloaked.png,0.763687,0,0.947564,35.4039
Ari_Fleischer,results/phase2/robustness/jpeg50/Ari_Fleischer_0005_cloaked.png,0.531902,0,0.923325,34.9188
Arnold_Schwarzenegger,results/phase2/robustness/jpeg50/Arnold_Schwarzenegger_0039_cloaked.png,0.641347,0,0.922806,34.8639
Benazir_Bhutto,results/phase2/robustness/jpeg50/Benazir_Bhutto_0001_cloaked.png,0.286034,0,0.910447,33.8995
Benazir_Bhutto,results/phase2/robustness/jpeg50/Benazir_Bhutto_0002_cloaked.png,0.332235,0,0.923366,34.9035
Bertie_Ahern,results/phase2/robustness/jpeg50/Bertie_Ahern_0005_cloaked.png,0.427563,0,0.931512,35.0441
Bill_Clinton,results/phase2/robustness/jpeg50/Bill_Clinton_0014_cloaked.png,0.609044,0,0.937573,33.5842
Bill_Clinton,results/phase2/robustness/jpeg50/Bill_Clinton_0017_cloaked.png,0.477499,0,0.910922,34.7593
Bill_Frist,results/phase2/robustness/jpeg50/Bill_Frist_0002_cloaked.png,0.604453,0,0.946527,36.1037
Bill_Frist,results/phase2/robustness/jpeg50/Bill_Frist_0003_cloaked.png,0.540106,0,0.939559,35.8035
Bill_Simon,results/phase2/robustness/jpeg50/Bill_Simon_0004_cloaked.png,0.583716,0,0.917590,33.3861
Binyamin_Ben-Eliezer,results/phase2/robustness/jpeg50/Binyamin_Ben-Eliezer_0003_cloaked.png,0.690617,0,0.937358,34.5406
Binyamin_Ben-Eliezer,results/phase2/robustness/jpeg50/Binyamin_Ben-Eliezer_0006_cloaked.png,0.543603,0,0.926312,34.6848
Bob_Stoops,results/phase2/robustness/jpeg50/Bob_Stoops_0002_cloaked.png,0.568884,0,0.922368,34.5024
Bob_Stoops,results/phase2/robustness/jpeg50/Bob_Stoops_0003_cloaked.png,0.535428,0,0.916915,34.4998
Bob_Stoops,results/phase2/robustness/jpeg50/Bob_Stoops_0005_cloaked.png,0.401914,0,0.917779,34.9193
Carrie-Anne_Moss,results/phase2/robustness/jpeg50/Carrie-Anne_Moss_0001_cloaked.png,0.538836,0,0.941673,35.7798
Carrie-Anne_Moss,results/phase2/robustness/jpeg50/Carrie-Anne_Moss_0003_cloaked.png,0.439389,0,0.953206,36.3029
Carrie-Anne_Moss,results/phase2/robustness/jpeg50/Carrie-Anne_Moss_0005_cloaked.png,0.259513,1,0.928789,34.0678
Celine_Dion,results/phase2/robustness/jpeg50/Celine_Dion_0007_cloaked.png,0.595005,0,0.949225,34.8945
Celine_Dion,results/phase2/robustness/jpeg50/Celine_Dion_0008_cloaked.png,0.472246,0,0.947126,35.2409
Chanda_Rubin,results/phase2/robustness/jpeg50/Chanda_Rubin_0004_cloaked.png,0.511428,0,0.935298,34.5951
Chanda_Rubin,results/phase2/robustness/jpeg50/Chanda_Rubin_0005_cloaked.png,0.552775,0,0.934332,34.9603
Charles_Taylor,results/phase2/robustness/jpeg50/Charles_Taylor_0004_cloaked.png,0.563913,0,0.932635,33.5919
Charles_Taylor,results/phase2/robustness/jpeg50/Charles_Taylor_0006_cloaked.png,0.370496,0,0.924471,32.5720
Choi_Sung-hong,results/phase2/robustness/jpeg50/Choi_Sung-hong_0005_cloaked.png,0.554964,0,0.936338,35.5182
Claudia_Pechstein,results/phase2/robustness/jpeg50/Claudia_Pechstein_0003_cloaked.png,0.321545,0,0.925296,34.5129
Claudia_Pechstein,results/phase2/robustness/jpeg50/Claudia_Pechstein_0004_cloaked.png,0.412265,0,0.942410,34.3994
Clint_Eastwood,results/phase2/robustness/jpeg50/Clint_Eastwood_0002_cloaked.png,0.229272,1,0.921239,35.6837
David_Beckham,results/phase2/robustness/jpeg50/David_Beckham_0014_cloaked.png,0.485705,0,0.916340,33.4203
David_Beckham,results/phase2/robustness/jpeg50/David_Beckham_0015_cloaked.png,0.133438,1,0.903241,33.9228
Dennis_Hastert,results/phase2/robustness/jpeg50/Dennis_Hastert_0003_cloaked.png,0.716011,0,0.951909,35.5150
Dennis_Hastert,results/phase2/robustness/jpeg50/Dennis_Hastert_0006_cloaked.png,0.662000,0,0.956927,35.7706
Diana_Krall,results/phase2/robustness/jpeg50/Diana_Krall_0002_cloaked.png,0.541107,0,0.942425,35.1409
Dick_Cheney,results/phase2/robustness/jpeg50/Dick_Cheney_0002_cloaked.png,0.559612,0,0.932549,34.8588
Dick_Cheney,results/phase2/robustness/jpeg50/Dick_Cheney_0013_cloaked.png,0.364209,0,0.929448,34.0476
Edmund_Stoiber,results/phase2/robustness/jpeg50/Edmund_Stoiber_0001_cloaked.png,0.228872,1,0.902869,34.0858
Edmund_Stoiber,results/phase2/robustness/jpeg50/Edmund_Stoiber_0009_cloaked.png,0.568062,0,0.930145,34.7514
Eduard_Shevardnadze,results/phase2/robustness/jpeg50/Eduard_Shevardnadze_0001_cloaked.png,0.616374,0,0.919351,32.7518
