identity_id,image_path,l2_dist,asr,ssim,psnr
Ahmed_Chalabi,results/phase2/robustness/jpeg50_facenet/Ahmed_Chalabi_0005_facenet_cloaked.png,1.650522,1,0.895759,33.6367
Al_Gore,results/phase2/robustness/jpeg50_facenet/Al_Gore_0002_facenet_cloaked.png,1.765096,1,0.889581,35.1043
Al_Gore,results/phase2/robustness/jpeg50_facenet/Al_Gore_0007_facenet_cloaked.png,1.612509,1,0.885347,34.0522
Al_Gore,results/phase2/robustness/jpeg50_facenet/Al_Gore_0008_facenet_cloaked.png,1.789329,1,0.902710,35.2013
Alastair_Campbell,results/phase2/robustness/jpeg50_facenet/Alastair_Campbell_0004_facenet_cloaked.png,1.699745,1,0.891263,34.4247
Alastair_Campbell,results/phase2/robustness/jpeg50_facenet/Alastair_Campbell_0005_facenet_cloaked.png,1.629878,1,0.904919,34.4714
Angela_Bassett,results/phase2/robustness/jpeg50_facenet/Angela_Bassett_0004_facenet_cloaked.png,1.415371,1,0.914401,34.0568
Antonio_Palocci,results/phase2/robustness/jpeg50_facenet/Antonio_Palocci_0003_facenet_cloaked.png,1.564919,1,0.906892,34.2239
Ari_Fleischer,results/phase2/robustness/jpeg50_facenet/Ari_Fleischer_0005_facenet_cloaked.png,1.714006,1,0.894822,34.5996
Arnold_Schwarzenegger,results/phase2/robustness/jpeg50_facenet/Arnold_Schwarzenegger_0039_facenet_cloaked.png,1.716985,1,0.886763,34.2202
Benazir_Bhutto,results/phase2/robustness/jpeg50_facenet/Benazir_Bhutto_0001_facenet_cloaked.png,1.820486,1,0.890201,34.2000
Benazir_Bhutto,results/phase2/robustness/jpeg50_facenet/Benazir_Bhutto_0002_facenet_cloaked.png,1.872001,1,0.896261,34.7624
Bertie_Ahern,results/phase2/robustness/jpeg50_facenet/Bertie_Ahern_0005_facenet_cloaked.png,1.667295,1,0.897754,34.2899
Bill_Clinton,results/phase2/robustness/jpeg50_facenet/Bill_Clinton_0014_facenet_cloaked.png,1.571693,1,0.914898,33.7336
Bill_Clinton,results/phase2/robustness/jpeg50_facenet/Bill_Clinton_0017_facenet_cloaked.png,1.612122,1,0.890958,34.8407
Bill_Frist,results/phase2/robustness/jpeg50_facenet/Bill_Frist_0002_facenet_cloaked.png,1.628880,1,0.898315,34.6720
Bill_Frist,results/phase2/robustness/jpeg50_facenet/Bill_Frist_0003_facenet_cloaked.png,1.681742,1,0.911887,35.1221
Bill_Simon,results/phase2/robustness/jpeg50_facenet/Bill_Simon_0004_facenet_cloaked.png,1.778957,1,0.900262,33.9527
Binyamin_Ben-Eliezer,results/phase2/robustness/jpeg50_facenet/Binyamin_Ben-Eliezer_0003_facenet_cloaked.png,1.553257,1,0.911780,34.4364
Binyamin_Ben-Eliezer,results/phase2/robustness/jpeg50_facenet/Binyamin_Ben-Eliezer_0006_facenet_cloaked.png,1.500416,1,0.888948,34.1125
Bob_Stoops,results/phase2/robustness/jpeg50_facenet/Bob_Stoops_0002_facenet_cloaked.png,1.730624,1,0.889630,34.0036
Bob_Stoops,results/phase2/robustness/jpeg50_facenet/Bob_Stoops_0003_facenet_cloaked.png,1.808732,1,0.885331,34.2939
Bob_Stoops,results/phase2/robustness/jpeg50_facenet/Bob_Stoops_0005_facenet_cloaked.png,1.732256,1,0.893951,34.7436
Carrie-Anne_Moss,results/phase2/robustness/jpeg50_facenet/Carrie-Anne_Moss_0001_facenet_cloaked.png,1.825280,1,0.908273,34.8973
Carrie-Anne_Moss,results/phase2/robustness/jpeg50_facenet/Carrie-Anne_Moss_0003_facenet_cloaked.png,1.747471,1,0.913861,34.9929
Carrie-Anne_Moss,results/phase2/robustness/jpeg50_facenet/Carrie-Anne_Moss_0005_facenet_cloaked.png,1.763106,1,0.895942,33.7707
Celine_Dion,results/phase2/robustness/jpeg50_facenet/Celine_Dion_0007_facenet_cloaked.png,1.779090,1,0.921939,34.5082
Celine_Dion,results/phase2/robustness/jpeg50_facenet/Celine_Dion_0008_facenet_cloaked.png,1.487771,1,0.922475,34.9939
Chanda_Rubin,results/phase2/robustness/jpeg50_facenet/Chanda_Rubin_0004_facenet_cloaked.png,1.499612,1,0.894984,33.6957
Chanda_Rubin,results/phase2/robustness/jpeg50_facenet/Chanda_Rubin_0005_facenet_cloaked.png,1.566531,1,0.897105,34.3448
Charles_Taylor,results/phase2/robustness/jpeg50_facenet/Charles_Taylor_0004_facenet_cloaked.png,1.521179,1,0.907482,33.5143
Charles_Taylor,results/phase2/robustness/jpeg50_facenet/Charles_Taylor_0006_facenet_cloaked.png,1.625406,1,0.907351,32.9756
Choi_Sung-hong,results/phase2/robustness/jpeg50_facenet/Choi_Sung-hong_0005_facenet_cloaked.png,1.667875,1,0.894556,34.5817
Claudia_Pechstein,results/phase2/robustness/jpeg50_facenet/Claudia_Pechstein_0003_facenet_cloaked.png,1.725848,1,0.908567,34.7677
Claudia_Pechstein,results/phase2/robustness/jpeg50_facenet/Claudia_Pechstein_0004_facenet_cloaked.png,1.546586,1,0.905117,33.8247
Clint_Eastwood,results/phase2/robustness/jpeg50_facenet/Clint_Eastwood_0002_facenet_cloaked.png,1.695151,1,0.894783,35.1767
David_Beckham,results/phase2/robustness/jpeg50_facenet/David_Beckham_0014_facenet_cloaked.png,1.738442,1,0.897065,33.6976
David_Beckham,results/phase2/robustness/jpeg50_facenet/David_Beckham_0015_facenet_cloaked.png,1.817266,1,0.896280,34.5565
Dennis_Hastert,results/phase2/robustness/jpeg50_facenet/Dennis_Hastert_0003_facenet_cloaked.png,1.596510,1,0.923709,34.9394
Dennis_Hastert,results/phase2/robustness/jpeg50_facenet/Dennis_Hastert_0006_facenet_cloaked.png,1.561804,1,0.922329,34.9971
Diana_Krall,results/phase2/robustness/jpeg50_facenet/Diana_Krall_0002_facenet_cloaked.png,1.639680,1,0.910193,34.4051
Dick_Cheney,results/phase2/robustness/jpeg50_facenet/Dick_Cheney_0002_facenet_cloaked.png,1.665090,1,0.910643,34.8622
Dick_Cheney,results/phase2/robustness/jpeg50_facenet/Dick_Cheney_0013_facenet_cloaked.png,1.653380,1,0.902111,33.7950
Edmund_Stoiber,results/phase2/robustness/jpeg50_facenet/Edmund_Stoiber_0001_facenet_cloaked.png,1.623341,1,0.884027,34.2049
Edmund_Stoiber,results/phase2/robustness/jpeg50_facenet/Edmund_Stoiber_0009_facenet_cloaked.png,1.538686,1,0.904547,34.6284
Eduard_Shevardnadze,results/phase2/robustness/jpeg50_facenet/Eduard_Shevardnadze_0001_facenet_cloaked.png,1.392544,1,0.901863,33.0626
Eduard_Shevardnadze,results/phase2/robustness/jpeg50_facenet/Eduard_Shevardnadze_0003_facenet_cloaked.png,1.725645,1,0.881922,34.0768
Edward_Lu,results/phase2/robustness/jpeg50_facenet/Edward_Lu_0005_facenet_cloaked.png,1.744600,1,0.905411,34.8887
Edward_Lu,results/phase2/robustness/jpeg50_facenet/Edward_Lu_0006_facenet_cloaked.png,1.603603,1,0.895270,34.5445
Elizabeth_Hurley,results/phase2/robustness/jpeg50_facenet/Elizabeth_Hurley_0002_facenet_cloaked.png,1.778756,1,0.907400,35.0181
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg50_facenet/Fernando_Henrique_Cardoso_0004_facenet_cloaked.png,1.811770,1,0.916252,34.9124
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg50_facenet/Fernando_Henrique_Cardoso_0005_facenet_cloaked.png,1.696153,1,0.889344,34.3848
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg50_facenet/Fernando_Henrique_Cardoso_0006_facenet_cloaked.png,1.758535,1,0.899857,35.5505
Fernando_Henrique_Cardoso,results/phase2/robustness/jpeg50_facenet/Fernando_Henrique_Cardoso_0007_facenet_cloaked.png,1.672278,1,0.895410,34.4916
George_Pataki,results/phase2/robustness/jpeg50_facenet/George_Pataki_0005_facenet_cloaked.png,1.610875,1,0.899739,35.1437
George_W_Bush,results/phase2/robustness/jpeg50_facenet/George_W_Bush_0439_facenet_cloaked.png,1.607440,1,0.900489,34.3042
Gerry_Adams,results/phase2/robustness/jpeg50_facenet/Gerry_Adams_0001_facenet_cloaked.png,1.517011,1,0.906015,34.4974
Gerry_Adams,results/phase2/robustness/jpeg50_facenet/Gerry_Adams_0004_facenet_cloaked.png,1.529366,1,0.916030,34.0103
Gil_de_Ferran,results/phase2/robustness/jpeg50_facenet/Gil_de_Ferran_0003_facenet_cloaked.png,1.776500,1,0.913268,34.9222
Gil_de_Ferran,results/phase2/robustness/jpeg50_facenet/Gil_de_Ferran_0004_facenet_cloaked.png,1.871504,1,0.902242,34.8431
Gil_de_Ferran,results/phase2/robustness/jpeg50_facenet/Gil_de_Ferran_0005_facenet_cloaked.png,1.890044,1,0.903186,35.3392
Gordon_Brown,results/phase2/robustness/jpeg50_facenet/Gordon_Brown_0004_facenet_cloaked.png,1.617139,1,0.920827,34.2535
Gray_Davis,results/phase2/robustness/jpeg50_facenet/Gray_Davis_0013_facenet_cloaked.png,1.727188,1,0.874809,34.5038
Gray_Davis,results/phase2/robustness/jpeg50_facenet/Gray_Davis_0022_facenet_cloaked.png,1.667576,1,0.908017,35.0402
Guillermo_Coria,results/phase2/robustness/jpeg50_facenet/Guillermo_Coria_0014_facenet_cloaked.png,1.684525,1,0.892869,34.1083
Guillermo_Coria,results/phase2/robustness/jpeg50_facenet/Guillermo_Coria_0017_facenet_cloaked.png,1.682290,1,0.913807,34.6579
Gwyneth_Paltrow,results/phase2/robustness/jpeg50_facenet/Gwyneth_Paltrow_0006_facenet_cloaked.png,1.783592,1,0.908823,33.4216
Harrison_Ford,results/phase2/robustness/jpeg50_facenet/Harrison_Ford_0001_facenet_cloaked.png,1.529443,1,0.914642,33.5683
Hitomi_Soga,results/phase2/robustness/jpeg50_facenet/Hitomi_Soga_0001_facenet_cloaked.png,1.734730,1,0.896216,35.1358
Holly_Hunter,results/phase2/robustness/jpeg50_facenet/Holly_Hunter_0004_facenet_cloaked.png,1.712615,1,0.916865,35.2060
Howard_Dean,results/phase2/robustness/jpeg50_facenet/Howard_Dean_0012_facenet_cloaked.png,1.616514,1,0.886805,33.8664
Hu_Jintao,results/phase2/robustness/jpeg50_facenet/Hu_Jintao_0010_facenet_cloaked.png,1.647556,1,0.890724,34.5135
Hu_Jintao,results/phase2/robustness/jpeg50_facenet/Hu_Jintao_0013_facenet_cloaked.png,1.661147,1,0.898987,34.4674
Jackie_Chan,results/phase2/robustness/jpeg50_facenet/Jackie_Chan_0013_facenet_cloaked.png,1.698565,1,0.903764,34.4220
Jake_Gyllenhaal,results/phase2/robustness/jpeg50_facenet/Jake_Gyllenhaal_0003_facenet_cloaked.png,1.733672,1,0.904413,34.9048
Jake_Gyllenhaal,results/phase2/robustness/jpeg50_facenet/Jake_Gyllenhaal_0005_facenet_cloaked.png,1.721720,1,0.896051,35.3096
James_Kelly,results/phase2/robustness/jpeg50_facenet/James_Kelly_0001_facenet_cloaked.png,1.648430,1,0.894419,33.9498
James_Kelly,results/phase2/robustness/jpeg50_facenet/James_Kelly_0005_facenet_cloaked.png,1.453885,1,0.902650,34.0641
James_Wolfensohn,results/phase2/robustness/jpeg50_facenet/James_Wolfensohn_0005_facenet_cloaked.png,1.461214,1,0.909512,33.6317
Javier_Solana,results/phase2/robustness/jpeg50_facenet/Javier_Solana_0002_facenet_cloaked.png,1.747869,1,0.897222,34.4349
Javier_Solana,results/phase2/robustness/jpeg50_facenet/Javier_Solana_0004_facenet_cloaked.png,1.418624,1,0.900981,33.6448
Jay_Garner,results/phase2/robustness/jpeg50_facenet/Jay_Garner_0002_facenet_cloaked.png,1.485795,1,0.919029,33.4473
Jean-David_Levitte,results/phase2/robustness/jpeg50_facenet/Jean-David_Levitte_0004_facenet_cloaked.png,1.811601,1,0.905198,35.4725
Jean-David_Levitte,results/phase2/robustness/jpeg50_facenet/Jean-David_Levitte_0010_facenet_cloaked.png,1.750201,1,0.893847,34.5027
Jean_Chretien,results/phase2/robustness/jpeg50_facenet/Jean_Chretien_0020_facenet_cloaked.png,1.625305,1,0.904250,34.3896
Jean_Chretien,results/phase2/robustness/jpeg50_facenet/Jean_Chretien_0051_facenet_cloaked.png,1.454900,1,0.912491,34.5205
Jelena_Dokic,results/phase2/robustness/jpeg50_facenet/Jelena_Dokic_0002_facenet_cloaked.png,1.660770,1,0.897437,34.2314
Jelena_Dokic,results/phase2/robustness/jpeg50_facenet/Jelena_Dokic_0004_facenet_cloaked.png,1.809916,1,0.916345,36.1949
Jennifer_Aniston,results/phase2/robustness/jpeg50_facenet/Jennifer_Aniston_0017_facenet_cloaked.png,1.844447,1,0.925226,36.3091
Jeremy_Greenstock,results/phase2/robustness/jpeg50_facenet/Jeremy_Greenstock_0022_facenet_cloaked.png,1.497782,1,0.910916,34.2376
Jiang_Zemin,results/phase2/robustness/jpeg50_facenet/Jiang_Zemin_0011_facenet_cloaked.png,1.690529,1,0.896045,34.1338
Jimmy_Carter,results/phase2/robustness/jpeg50_facenet/Jimmy_Carter_0007_facenet_cloaked.png,1.603805,1,0.900423,34.4821
Jimmy_Carter,results/phase2/robustness/jpeg50_facenet/Jimmy_Carter_0008_facenet_cloaked.png,1.587324,1,0.894721,35.0728
Jiri_Novak,results/phase2/robustness/jpeg50_facenet/Jiri_Novak_0004_facenet_cloaked.png,1.647573,1,0.908492,34.3865
Jiri_Novak,results/phase2/robustness/jpeg50_facenet/Jiri_Novak_0010_facenet_cloaked.png,1.678270,1,0.905767,34.1090
John_Edwards,results/phase2/robustness/jpeg50_facenet/John_Edwards_0001_facenet_cloaked.png,1.776829,1,0.898743,34.6095
John_Edwards,results/phase2/robustness/jpeg50_facenet/John_Edwards_0007_facenet_cloaked.png,1.736425,1,0.907099,35.2866
John_McCain,results/phase2/robustness/jpeg50_facenet/John_McCain_0003_facenet_cloaked.png,1.656165,1,0.908576,35.2547
Jonathan_Edwards,results/phase2/robustness/jpeg50_facenet/Jonathan_Edwards_0007_facenet_cloaked.png,1.777992,1,0.902331,34.7421
Junichiro_Koizumi,results/phase2/robustness/jpeg50_facenet/Junichiro_Koizumi_0006_facenet_cloaked.png,1.803439,1,0.888998,34.2374
Justin_Timberlake,results/phase2/robustness/jpeg50_facenet/Justin_Timberlake_0001_facenet_cloaked.png,1.789386,1,0.898509,34.1787
Justin_Timberlake,results/phase2/robustness/jpeg50_facenet/Justin_Timberlake_0008_facenet_cloaked.png,1.661078,1,0.887606,34.4140
Kamal_Kharrazi,results/phase2/robustness/jpeg50_facenet/Kamal_Kharrazi_0004_facenet_cloaked.png,1.470453,1,0.915055,34.5632
Keanu_Reeves,results/phase2/robustness/jpeg50_facenet/Keanu_Reeves_0010_facenet_cloaked.png,1.658008,1,0.896600,34.0244
Kevin_Spacey,results/phase2/robustness/jpeg50_facenet/Kevin_Spacey_0001_facenet_cloaked.png,1.785553,1,0.893632,34.6509
Kim_Clijsters,results/phase2/robustness/jpeg50_facenet/Kim_Clijsters_0008_facenet_cloaked.png,1.691404,1,0.913241,34.9073
Kim_Ryong-sung,results/phase2/robustness/jpeg50_facenet/Kim_Ryong-sung_0005_facenet_cloaked.png,1.532393,1,0.892117,33.2000
King_Abdullah_II,results/phase2/robustness/jpeg50_facenet/King_Abdullah_II_0001_facenet_cloaked.png,1.724200,1,0.902069,34.6867
