recognizer,identity_id,image_path,correct
arcface,Justine_Pasek,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Justine_Pasek\Justine_Pasek_0001.png,1
arcface,Justine_Pasek,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Justine_Pasek\Justine_Pasek_0003.png,1
arcface,Justine_Pasek,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Justine_Pasek\Justine_Pasek_0005.png,1
arcface,Justine_Pasek,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Justine_Pasek\Justine_Pasek_0006.png,1
arcface,Justine_Pasek,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Justine_Pasek\Justine_Pasek_0007.png,1
arcface,Allyson_Felix,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Allyson_Felix\Allyson_Felix_0001.png,1
arcface,Allyson_Felix,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Allyson_Felix\Allyson_Felix_0002.png,1
arcface,Allyson_Felix,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Allyson_Felix\Allyson_Felix_0003.png,1
arcface,Allyson_Felix,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Allyson_Felix\Allyson_Felix_0004.png,1
arcface,Allyson_Felix,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Allyson_Felix\Allyson_Felix_0005.png,1
arcface,Hitomi_Soga,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Hitomi_Soga\Hitomi_Soga_0001.png,1
arcface,Hitomi_Soga,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Hitomi_Soga\Hitomi_Soga_0002.png,1
arcface,Hitomi_Soga,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Hitomi_Soga\Hitomi_Soga_0003.png,1
arcface,Hitomi_Soga,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Hitomi_Soga\Hitomi_Soga_0004.png,1
arcface,Hitomi_Soga,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Hitomi_Soga\Hitomi_Soga_0005.png,1
arcface,Mariah_Carey,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Mariah_Carey\Mariah_Carey_0001.png,1
arcface,Mariah_Carey,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Mariah_Carey\Mariah_Carey_0002.png,1
arcface,Mariah_Carey,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Mariah_Carey\Mariah_Carey_0003.png,1
arcface,Mariah_Carey,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Mariah_Carey\Mariah_Carey_0005.png,1
arcface,Mariah_Carey,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Mariah_Carey\Mariah_Carey_0006.png,1
arcface,Marco_Antonio_Barrera,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0001.png,1
arcface,Marco_Antonio_Barrera,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0002.png,1
arcface,Marco_Antonio_Barrera,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0003.png,1
arcface,Marco_Antonio_Barrera,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0004.png,1
arcface,Marco_Antonio_Barrera,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Marco_Antonio_Barrera\Marco_Antonio_Barrera_0005.png,1
arcface,Vaclav_Havel,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vaclav_Havel\Vaclav_Havel_0001.png,0
arcface,Vaclav_Havel,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vaclav_Havel\Vaclav_Havel_0002.png,1
arcface,Vaclav_Havel,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vaclav_Havel\Vaclav_Havel_0003.png,1
arcface,Vaclav_Havel,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vaclav_Havel\Vaclav_Havel_0007.png,1
arcface,Vaclav_Havel,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vaclav_Havel\Vaclav_Havel_0009.png,1
arcface,Bill_Simon,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Bill_Simon\Bill_Simon_0004.png,1
arcface,Bill_Simon,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Bill_Simon\Bill_Simon_0007.png,1
arcface,Bill_Simon,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Bill_Simon\Bill_Simon_0011.png,1
arcface,Bill_Simon,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Bill_Simon\Bill_Simon_0013.png,1
arcface,Bill_Simon,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Bill_Simon\Bill_Simon_0015.png,1
arcface,Ahmed_Chalabi,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ahmed_Chalabi\Ahmed_Chalabi_0001.png,1
arcface,Ahmed_Chalabi,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ahmed_Chalabi\Ahmed_Chalabi_0002.png,1
arcface,Ahmed_Chalabi,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ahmed_Chalabi\Ahmed_Chalabi_0003.png,1
arcface,Ahmed_Chalabi,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ahmed_Chalabi\Ahmed_Chalabi_0004.png,1
arcface,Ahmed_Chalabi,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ahmed_Chalabi\Ahmed_Chalabi_0005.png,1
arcface,Monica_Seles,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Monica_Seles\Monica_Seles_0001.png,0
arcface,Monica_Seles,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Monica_Seles\Monica_Seles_0002.png,1
arcface,Monica_Seles,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Monica_Seles\Monica_Seles_0004.png,1
arcface,Monica_Seles,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Monica_Seles\Monica_Seles_0005.png,1
arcface,Monica_Seles,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Monica_Seles\Monica_Seles_0006.png,1
arcface,David_Wells,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\David_Wells\David_Wells_0001.png,1
arcface,David_Wells,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\David_Wells\David_Wells_0002.png,1
arcface,David_Wells,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\David_Wells\David_Wells_0003.png,1
arcface,David_Wells,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\David_Wells\David_Wells_0005.png,1
arcface,David_Wells,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\David_Wells\David_Wells_0007.png,1
arcface,Vincent_Brooks,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vincent_Brooks\Vincent_Brooks_0002.png,1
arcface,Vincent_Brooks,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vincent_Brooks\Vincent_Brooks_0003.png,1
arcface,Vincent_Brooks,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vincent_Brooks\Vincent_Brooks_0004.png,1
arcface,Vincent_Brooks,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vincent_Brooks\Vincent_Brooks_0006.png,1
arcface,Vincent_Brooks,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Vincent_Brooks\Vincent_Brooks_0007.png,1
arcface,Ricardo_Sanchez,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ricardo_Sanchez\Ricardo_Sanchez_0001.png,1
arcface,Ricardo_Sanchez,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ricardo_Sanchez\Ricardo_Sanchez_0002.png,1
arcface,Ricardo_Sanchez,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ricardo_Sanchez\Ricardo_Sanchez_0003.png,1
arcface,Ricardo_Sanchez,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ricardo_Sanchez\Ricardo_Sanchez_0004.png,1
arcface,Ricardo_Sanchez,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Ricardo_Sanchez\Ricardo_Sanchez_0005.png,1
arcface,Edmund_Stoiber,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Edmund_Stoiber\Edmund_Stoiber_0001.png,1
arcface,Edmund_Stoiber,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Edmund_Stoiber\Edmund_Stoiber_0002.png,1
arcface,Edmund_Stoiber,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Edmund_Stoiber\Edmund_Stoiber_0006.png,1
arcface,Edmund_Stoiber,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Edmund_Stoiber\Edmund_Stoiber_0009.png,1
arcface,Edmund_Stoiber,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Edmund_Stoiber\Edmund_Stoiber_0011.png,1
arcface,Madonna,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Madonna\Madonna_0001.png,1
arcface,Madonna,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Madonna\Madonna_0002.png,1
arcface,Madonna,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Madonna\Madonna_0003.png,1
arcface,Madonna,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Madonna\Madonna_0004.png,1
arcface,Madonna,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Madonna\Madonna_0005.png,1
arcface,Jelena_Dokic,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Jelena_Dokic\Jelena_Dokic_0002.png,1
arcface,Jelena_Dokic,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Jelena_Dokic\Jelena_Dokic_0003.png,1
arcface,Jelena_Dokic,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Jelena_Dokic\Jelena_Dokic_0004.png,0
arcface,Jelena_Dokic,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Jelena_Dokic\Jelena_Dokic_0005.png,1
arcface,Jelena_Dokic,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Jelena_Dokic\Jelena_Dokic_0007.png,1
arcface,Paula_Radcliffe,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Paula_Radcliffe\Paula_Radcliffe_0001.png,1
arcface,Paula_Radcliffe,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Paula_Radcliffe\Paula_Radcliffe_0002.png,1
arcface,Paula_Radcliffe,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Paula_Radcliffe\Paula_Radcliffe_0004.png,1
arcface,Paula_Radcliffe,Hybrid-Deepfake-Defense-System\data\lfw\arcface_112\Paula_Radcliffe\Paula_Radcliffe_0005.png,1
