method,recognizer,identity_id,image_path,correct,ssim,psnr
clip2protect,arcface,Justine_Pasek,results/privacy/cloaked_images/clip2protect/arcface/Justine_Pasek_0001.jpg,1,0.789658,25.5666
clip2protect,arcface,Justine_Pasek,results/privacy/cloaked_images/clip2protect/arcface/Justine_Pasek_0003.jpg,1,0.815364,24.9449
clip2protect,arcface,Justine_Pasek,results/privacy/cloaked_images/clip2protect/arcface/Justine_Pasek_0005.jpg,1,0.849958,24.7003
clip2protect,arcface,Justine_Pasek,results/privacy/cloaked_images/clip2protect/arcface/Justine_Pasek_0006.jpg,1,0.797727,24.7610
clip2protect,arcface,Justine_Pasek,results/privacy/cloaked_images/clip2protect/arcface/Justine_Pasek_0007.jpg,1,0.786176,23.0855
clip2protect,arcface,Allyson_Felix,results/privacy/cloaked_images/clip2protect/arcface/Allyson_Felix_0001.jpg,1,0.831117,25.2620
clip2protect,arcface,Allyson_Felix,results/privacy/cloaked_images/clip2protect/arcface/Allyson_Felix_0002.jpg,1,0.854687,25.4801
clip2protect,arcface,Allyson_Felix,results/privacy/cloaked_images/clip2protect/arcface/Allyson_Felix_0003.jpg,1,0.796712,23.7950
clip2protect,arcface,Allyson_Felix,results/privacy/cloaked_images/clip2protect/arcface/Allyson_Felix_0004.jpg,1,0.869687,27.6439
clip2protect,arcface,Allyson_Felix,results/privacy/cloaked_images/clip2protect/arcface/Allyson_Felix_0005.jpg,1,0.858561,25.9397
clip2protect,arcface,Hitomi_Soga,results/privacy/cloaked_images/clip2protect/arcface/Hitomi_Soga_0001.jpg,1,0.820200,23.2634
clip2protect,arcface,Hitomi_Soga,results/privacy/cloaked_images/clip2protect/arcface/Hitomi_Soga_0002.jpg,1,0.858777,26.6100
clip2protect,arcface,Hitomi_Soga,results/privacy/cloaked_images/clip2protect/arcface/Hitomi_Soga_0003.jpg,1,0.781704,22.6312
clip2protect,arcface,Hitomi_Soga,results/privacy/cloaked_images/clip2protect/arcface/Hitomi_Soga_0004.jpg,1,0.846446,26.0490
clip2protect,arcface,Hitomi_Soga,results/privacy/cloaked_images/clip2protect/arcface/Hitomi_Soga_0005.jpg,1,0.853672,26.7974
clip2protect,arcface,Mariah_Carey,results/privacy/cloaked_images/clip2protect/arcface/Mariah_Carey_0001.jpg,0,0.680088,20.1498
clip2protect,arcface,Mariah_Carey,results/privacy/cloaked_images/clip2protect/arcface/Mariah_Carey_0002.jpg,1,0.791477,24.1552
clip2protect,arcface,Mariah_Carey,results/privacy/cloaked_images/clip2protect/arcface/Mariah_Carey_0003.jpg,1,0.711776,21.0414
clip2protect,arcface,Mariah_Carey,results/privacy/cloaked_images/clip2protect/arcface/Mariah_Carey_0005.jpg,1,0.781413,23.2991
clip2protect,arcface,Mariah_Carey,results/privacy/cloaked_images/clip2protect/arcface/Mariah_Carey_0006.jpg,1,0.806224,23.3093
clip2protect,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/clip2protect/arcface/Marco_Antonio_Barrera_0001.jpg,1,0.828140,26.1685
clip2protect,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/clip2protect/arcface/Marco_Antonio_Barrera_0002.jpg,1,0.795103,23.9184
clip2protect,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/clip2protect/arcface/Marco_Antonio_Barrera_0003.jpg,1,0.831280,23.6122
clip2protect,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/clip2protect/arcface/Marco_Antonio_Barrera_0004.jpg,1,0.812422,24.6084
clip2protect,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/clip2protect/arcface/Marco_Antonio_Barrera_0005.jpg,1,0.797263,23.5311
clip2protect,arcface,Bill_Simon,results/privacy/cloaked_images/clip2protect/arcface/Bill_Simon_0004.jpg,1,0.686477,21.8557
clip2protect,arcface,Bill_Simon,results/privacy/cloaked_images/clip2protect/arcface/Bill_Simon_0007.jpg,1,0.738183,23.0669
clip2protect,arcface,Bill_Simon,results/privacy/cloaked_images/clip2protect/arcface/Bill_Simon_0011.jpg,1,0.783705,23.7726
clip2protect,arcface,Bill_Simon,results/privacy/cloaked_images/clip2protect/arcface/Bill_Simon_0013.jpg,1,0.848372,26.2100
clip2protect,arcface,Bill_Simon,results/privacy/cloaked_images/clip2protect/arcface/Bill_Simon_0015.jpg,1,0.865777,27.5942
clip2protect,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/clip2protect/arcface/Ahmed_Chalabi_0001.jpg,1,0.818733,25.7633
clip2protect,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/clip2protect/arcface/Ahmed_Chalabi_0002.jpg,1,0.810650,24.6855
clip2protect,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/clip2protect/arcface/Ahmed_Chalabi_0003.jpg,1,0.911473,29.6761
clip2protect,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/clip2protect/arcface/Ahmed_Chalabi_0004.jpg,1,0.873851,25.8710
clip2protect,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/clip2protect/arcface/Ahmed_Chalabi_0005.jpg,1,0.886760,27.5200
clip2protect,arcface,Monica_Seles,results/privacy/cloaked_images/clip2protect/arcface/Monica_Seles_0001.jpg,0,0.766759,22.4043
clip2protect,arcface,Monica_Seles,results/privacy/cloaked_images/clip2protect/arcface/Monica_Seles_0002.jpg,1,0.852893,24.6223
clip2protect,arcface,Monica_Seles,results/privacy/cloaked_images/clip2protect/arcface/Monica_Seles_0004.jpg,1,0.802851,23.4652
clip2protect,arcface,Monica_Seles,results/privacy/cloaked_images/clip2protect/arcface/Monica_Seles_0005.jpg,1,0.849702,26.5956
