method,recognizer,identity_id,image_path,correct,ssim,psnr
clip2protect,facenet,Allyson_Felix,results/privacy/cloaked_images/clip2protect/facenet/Allyson_Felix_0001.jpg,1,0.857671,25.5529
clip2protect,facenet,Allyson_Felix,results/privacy/cloaked_images/clip2protect/facenet/Allyson_Felix_0002.jpg,0,0.862824,25.9613
clip2protect,facenet,Allyson_Felix,results/privacy/cloaked_images/clip2protect/facenet/Allyson_Felix_0003.jpg,1,0.818568,24.8293
clip2protect,facenet,Allyson_Felix,results/privacy/cloaked_images/clip2protect/facenet/Allyson_Felix_0004.jpg,1,0.888293,29.2706
clip2protect,facenet,Allyson_Felix,results/privacy/cloaked_images/clip2protect/facenet/Allyson_Felix_0005.jpg,1,0.877178,26.2650
clip2protect,facenet,Bill_Simon,results/privacy/cloaked_images/clip2protect/facenet/Bill_Simon_0004.jpg,1,0.738867,23.9055
clip2protect,facenet,Bill_Simon,results/privacy/cloaked_images/clip2protect/facenet/Bill_Simon_0007.jpg,1,0.796725,24.5662
clip2protect,facenet,Bill_Simon,results/privacy/cloaked_images/clip2protect/facenet/Bill_Simon_0011.jpg,1,0.836303,24.7693
clip2protect,facenet,Bill_Simon,results/privacy/cloaked_images/clip2protect/facenet/Bill_Simon_0013.jpg,1,0.868016,28.1226
clip2protect,facenet,Bill_Simon,results/privacy/cloaked_images/clip2protect/facenet/Bill_Simon_0015.jpg,1,0.896472,28.1351
clip2protect,facenet,Ahmed_Chalabi,results/privacy/cloaked_images/clip2protect/facenet/Ahmed_Chalabi_0001.jpg,1,0.874274,27.1773
clip2protect,facenet,Ahmed_Chalabi,results/privacy/cloaked_images/clip2protect/facenet/Ahmed_Chalabi_0002.jpg,1,0.857889,25.6102
clip2protect,facenet,Ahmed_Chalabi,results/privacy/cloaked_images/clip2protect/facenet/Ahmed_Chalabi_0003.jpg,1,0.925956,30.2096
clip2protect,facenet,Ahmed_Chalabi,results/privacy/cloaked_images/clip2protect/facenet/Ahmed_Chalabi_0004.jpg,1,0.856068,25.3563
