method,recognizer,identity_id,image_path,correct,ssim,psnr
fawkes,arcface,Justine_Pasek,results/privacy/cloaked_images/fawkes/arcface/Justine_Pasek_0001_cloaked.png,1,0.216526,15.0676
fawkes,arcface,Justine_Pasek,results/privacy/cloaked_images/fawkes/arcface/Justine_Pasek_0003_cloaked.png,1,0.131551,12.9165
fawkes,arcface,Justine_Pasek,results/privacy/cloaked_images/fawkes/arcface/Justine_Pasek_0005_cloaked.png,0,0.142924,13.0967
fawkes,arcface,Justine_Pasek,results/privacy/cloaked_images/fawkes/arcface/Justine_Pasek_0006_cloaked.png,1,0.130155,13.4716
fawkes,arcface,Justine_Pasek,results/privacy/cloaked_images/fawkes/arcface/Justine_Pasek_0007_cloaked.png,0,0.192610,13.5300
fawkes,arcface,Allyson_Felix,results/privacy/cloaked_images/fawkes/arcface/Allyson_Felix_0001_cloaked.png,1,0.239118,15.5192
fawkes,arcface,Allyson_Felix,results/privacy/cloaked_images/fawkes/arcface/Allyson_Felix_0002_cloaked.png,1,0.326393,14.6416
fawkes,arcface,Allyson_Felix,results/privacy/cloaked_images/fawkes/arcface/Allyson_Felix_0003_cloaked.png,1,0.292905,15.5651
fawkes,arcface,Allyson_Felix,results/privacy/cloaked_images/fawkes/arcface/Allyson_Felix_0004_cloaked.png,1,0.272292,15.6575
fawkes,arcface,Allyson_Felix,results/privacy/cloaked_images/fawkes/arcface/Allyson_Felix_0005_cloaked.png,0,0.286897,15.8957
fawkes,arcface,Hitomi_Soga,results/privacy/cloaked_images/fawkes/arcface/Hitomi_Soga_0001_cloaked.png,1,0.317676,13.9334
fawkes,arcface,Hitomi_Soga,results/privacy/cloaked_images/fawkes/arcface/Hitomi_Soga_0002_cloaked.png,1,0.283821,14.1140
fawkes,arcface,Hitomi_Soga,results/privacy/cloaked_images/fawkes/arcface/Hitomi_Soga_0003_cloaked.png,1,0.251461,12.5535
fawkes,arcface,Hitomi_Soga,results/privacy/cloaked_images/fawkes/arcface/Hitomi_Soga_0004_cloaked.png,1,0.270018,12.3138
fawkes,arcface,Hitomi_Soga,results/privacy/cloaked_images/fawkes/arcface/Hitomi_Soga_0005_cloaked.png,1,0.256160,13.5989
fawkes,arcface,Mariah_Carey,results/privacy/cloaked_images/fawkes/arcface/Mariah_Carey_0001_cloaked.png,1,0.148487,11.2612
fawkes,arcface,Mariah_Carey,results/privacy/cloaked_images/fawkes/arcface/Mariah_Carey_0002_cloaked.png,1,0.224634,14.8038
fawkes,arcface,Mariah_Carey,results/privacy/cloaked_images/fawkes/arcface/Mariah_Carey_0003_cloaked.png,1,0.211557,12.1236
fawkes,arcface,Mariah_Carey,results/privacy/cloaked_images/fawkes/arcface/Mariah_Carey_0005_cloaked.png,1,0.183116,14.1046
fawkes,arcface,Mariah_Carey,results/privacy/cloaked_images/fawkes/arcface/Mariah_Carey_0006_cloaked.png,1,0.285731,15.2175
fawkes,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/fawkes/arcface/Marco_Antonio_Barrera_0001_cloaked.png,1,0.199135,14.2519
fawkes,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/fawkes/arcface/Marco_Antonio_Barrera_0002_cloaked.png,1,0.125159,13.7704
fawkes,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/fawkes/arcface/Marco_Antonio_Barrera_0003_cloaked.png,1,0.119768,10.9249
fawkes,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/fawkes/arcface/Marco_Antonio_Barrera_0004_cloaked.png,1,0.168838,14.5062
fawkes,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/fawkes/arcface/Marco_Antonio_Barrera_0005_cloaked.png,1,0.168247,11.7157
fawkes,arcface,Vaclav_Havel,results/privacy/cloaked_images/fawkes/arcface/Vaclav_Havel_0001_cloaked.png,0,0.245279,13.4089
fawkes,arcface,Vaclav_Havel,results/privacy/cloaked_images/fawkes/arcface/Vaclav_Havel_0002_cloaked.png,1,0.235865,14.7020
fawkes,arcface,Vaclav_Havel,results/privacy/cloaked_images/fawkes/arcface/Vaclav_Havel_0003_cloaked.png,1,0.276714,15.3246
fawkes,arcface,Vaclav_Havel,results/privacy/cloaked_images/fawkes/arcface/Vaclav_Havel_0007_cloaked.png,1,0.291666,16.6944
fawkes,arcface,Vaclav_Havel,results/privacy/cloaked_images/fawkes/arcface/Vaclav_Havel_0009_cloaked.png,0,0.308866,15.3698
fawkes,arcface,Bill_Simon,results/privacy/cloaked_images/fawkes/arcface/Bill_Simon_0004_cloaked.png,1,0.176363,13.2820
fawkes,arcface,Bill_Simon,results/privacy/cloaked_images/fawkes/arcface/Bill_Simon_0007_cloaked.png,1,0.160876,14.6852
fawkes,arcface,Bill_Simon,results/privacy/cloaked_images/fawkes/arcface/Bill_Simon_0011_cloaked.png,1,0.254108,15.4671
fawkes,arcface,Bill_Simon,results/privacy/cloaked_images/fawkes/arcface/Bill_Simon_0013_cloaked.png,1,0.261125,15.0183
fawkes,arcface,Bill_Simon,results/privacy/cloaked_images/fawkes/arcface/Bill_Simon_0015_cloaked.png,1,0.234755,15.6416
fawkes,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/fawkes/arcface/Ahmed_Chalabi_0001_cloaked.png,1,0.295309,15.7242
fawkes,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/fawkes/arcface/Ahmed_Chalabi_0002_cloaked.png,1,0.236262,15.0383
fawkes,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/fawkes/arcface/Ahmed_Chalabi_0003_cloaked.png,1,0.361664,16.1296
fawkes,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/fawkes/arcface/Ahmed_Chalabi_0004_cloaked.png,1,0.209732,14.0831
fawkes,arcface,Ahmed_Chalabi,results/privacy/cloaked_images/fawkes/arcface/Ahmed_Chalabi_0005_cloaked.png,1,0.284653,14.4940
fawkes,arcface,Monica_Seles,results/privacy/cloaked_images/fawkes/arcface/Monica_Seles_0001_cloaked.png,0,0.283350,14.3750
fawkes,arcface,Monica_Seles,results/privacy/cloaked_images/fawkes/arcface/Monica_Seles_0002_cloaked.png,1,0.322695,16.2216
fawkes,arcface,Monica_Seles,results/privacy/cloaked_images/fawkes/arcface/Monica_Seles_0004_cloaked.png,1,0.248406,15.0330
fawkes,arcface,Monica_Seles,results/privacy/cloaked_images/fawkes/arcface/Monica_Seles_0005_cloaked.png,1,0.316841,16.0093
fawkes,arcface,Monica_Seles,results/privacy/cloaked_images/fawkes/arcface/Monica_Seles_0006_cloaked.png,1,0.233175,14.0341
fawkes,arcface,David_Wells,results/privacy/cloaked_images/fawkes/arcface/David_Wells_0001_cloaked.png,1,0.288438,13.5696
fawkes,arcface,David_Wells,results/privacy/cloaked_images/fawkes/arcface/David_Wells_0002_cloaked.png,1,0.329091,16.5295
fawkes,arcface,David_Wells,results/privacy/cloaked_images/fawkes/arcface/David_Wells_0003_cloaked.png,1,0.340382,15.2660
fawkes,arcface,David_Wells,results/privacy/cloaked_images/fawkes/arcface/David_Wells_0005_cloaked.png,1,0.299900,13.8924
fawkes,arcface,David_Wells,results/privacy/cloaked_images/fawkes/arcface/David_Wells_0007_cloaked.png,1,0.274818,13.4778
fawkes,arcface,Vincent_Brooks,results/privacy/cloaked_images/fawkes/arcface/Vincent_Brooks_0002_cloaked.png,1,0.160647,14.0868
fawkes,arcface,Vincent_Brooks,results/privacy/cloaked_images/fawkes/arcface/Vincent_Brooks_0003_cloaked.png,1,0.128567,13.4786
fawkes,arcface,Vincent_Brooks,results/privacy/cloaked_images/fawkes/arcface/Vincent_Brooks_0004_cloaked.png,1,0.121477,12.9210
fawkes,arcface,Vincent_Brooks,results/privacy/cloaked_images/fawkes/arcface/Vincent_Brooks_0006_cloaked.png,1,0.160014,13.1729
fawkes,arcface,Vincent_Brooks,results/privacy/cloaked_images/fawkes/arcface/Vincent_Brooks_0007_cloaked.png,1,0.141620,14.8862
fawkes,arcface,Ricardo_Sanchez,results/privacy/cloaked_images/fawkes/arcface/Ricardo_Sanchez_0001_cloaked.png,1,0.198922,15.9044
fawkes,arcface,Ricardo_Sanchez,results/privacy/cloaked_images/fawkes/arcface/Ricardo_Sanchez_0002_cloaked.png,1,0.224566,15.8145
fawkes,arcface,Ricardo_Sanchez,results/privacy/cloaked_images/fawkes/arcface/Ricardo_Sanchez_0003_cloaked.png,1,0.213570,16.5073
fawkes,arcface,Ricardo_Sanchez,results/privacy/cloaked_images/fawkes/arcface/Ricardo_Sanchez_0004_cloaked.png,1,0.190653,14.9671
fawkes,arcface,Ricardo_Sanchez,results/privacy/cloaked_images/fawkes/arcface/Ricardo_Sanchez_0005_cloaked.png,1,0.195650,14.4455
fawkes,arcface,Edmund_Stoiber,results/privacy/cloaked_images/fawkes/arcface/Edmund_Stoiber_0001_cloaked.png,1,0.285381,17.0191
fawkes,arcface,Edmund_Stoiber,results/privacy/cloaked_images/fawkes/arcface/Edmund_Stoiber_0002_cloaked.png,1,0.247232,15.1840
fawkes,arcface,Edmund_Stoiber,results/privacy/cloaked_images/fawkes/arcface/Edmund_Stoiber_0006_cloaked.png,1,0.279600,15.2836
