method,recognizer,identity_id,image_path,correct,ssim,psnr
fawkes,facenet,Justine_Pasek,results/privacy/cloaked_images/fawkes/facenet/Justine_Pasek_0001_cloaked.png,1,0.991267,42.5534
fawkes,facenet,Justine_Pasek,results/privacy/cloaked_images/fawkes/facenet/Justine_Pasek_0003_cloaked.png,1,0.989643,39.4042
fawkes,facenet,Justine_Pasek,results/privacy/cloaked_images/fawkes/facenet/Justine_Pasek_0005_cloaked.png,1,0.989934,40.7787
fawkes,facenet,Justine_Pasek,results/privacy/cloaked_images/fawkes/facenet/Justine_Pasek_0006_cloaked.png,1,0.988147,40.2498
fawkes,facenet,Justine_Pasek,results/privacy/cloaked_images/fawkes/facenet/Justine_Pasek_0007_cloaked.png,1,0.989991,39.6821
fawkes,facenet,Allyson_Felix,results/privacy/cloaked_images/fawkes/facenet/Allyson_Felix_0001_cloaked.png,1,0.991053,43.3408
fawkes,facenet,Allyson_Felix,results/privacy/cloaked_images/fawkes/facenet/Allyson_Felix_0002_cloaked.png,1,0.990913,43.8162
fawkes,facenet,Allyson_Felix,results/privacy/cloaked_images/fawkes/facenet/Allyson_Felix_0003_cloaked.png,1,0.991226,41.8073
fawkes,facenet,Allyson_Felix,results/privacy/cloaked_images/fawkes/facenet/Allyson_Felix_0004_cloaked.png,1,0.987982,41.5044
fawkes,facenet,Allyson_Felix,results/privacy/cloaked_images/fawkes/facenet/Allyson_Felix_0005_cloaked.png,1,0.988871,41.1381
fawkes,facenet,Hitomi_Soga,results/privacy/cloaked_images/fawkes/facenet/Hitomi_Soga_0001_cloaked.png,1,0.991379,45.8871
fawkes,facenet,Hitomi_Soga,results/privacy/cloaked_images/fawkes/facenet/Hitomi_Soga_0002_cloaked.png,1,0.993010,47.2208
fawkes,facenet,Hitomi_Soga,results/privacy/cloaked_images/fawkes/facenet/Hitomi_Soga_0003_cloaked.png,1,0.992972,46.3618
fawkes,facenet,Hitomi_Soga,results/privacy/cloaked_images/fawkes/facenet/Hitomi_Soga_0004_cloaked.png,1,0.987975,40.5033
fawkes,facenet,Hitomi_Soga,results/privacy/cloaked_images/fawkes/facenet/Hitomi_Soga_0005_cloaked.png,1,0.994320,48.9874
fawkes,facenet,Mariah_Carey,results/privacy/cloaked_images/fawkes/facenet/Mariah_Carey_0001_cloaked.png,1,0.991856,40.9191
fawkes,facenet,Mariah_Carey,results/privacy/cloaked_images/fawkes/facenet/Mariah_Carey_0002_cloaked.png,1,0.993793,47.1613
fawkes,facenet,Mariah_Carey,results/privacy/cloaked_images/fawkes/facenet/Mariah_Carey_0003_cloaked.png,1,0.990287,40.0393
fawkes,facenet,Mariah_Carey,results/privacy/cloaked_images/fawkes/facenet/Mariah_Carey_0005_cloaked.png,1,0.988879,38.8641
fawkes,facenet,Mariah_Carey,results/privacy/cloaked_images/fawkes/facenet/Mariah_Carey_0006_cloaked.png,1,0.992341,44.4689
fawkes,facenet,Marco_Antonio_Barrera,results/privacy/cloaked_images/fawkes/facenet/Marco_Antonio_Barrera_0001_cloaked.png,1,0.992424,47.2638
fawkes,facenet,Marco_Antonio_Barrera,results/privacy/cloaked_images/fawkes/facenet/Marco_Antonio_Barrera_0002_cloaked.png,1,0.993203,45.6915
fawkes,facenet,Marco_Antonio_Barrera,results/privacy/cloaked_images/fawkes/facenet/Marco_Antonio_Barrera_0003_cloaked.png,1,0.987532,37.5480
fawkes,facenet,Marco_Antonio_Barrera,results/privacy/cloaked_images/fawkes/facenet/Marco_Antonio_Barrera_0004_cloaked.png,1,0.990833,43.0610
fawkes,facenet,Marco_Antonio_Barrera,results/privacy/cloaked_images/fawkes/facenet/Marco_Antonio_Barrera_0005_cloaked.png,1,0.987233,39.0567
fawkes,facenet,Vaclav_Havel,results/privacy/cloaked_images/fawkes/facenet/Vaclav_Havel_0001_cloaked.png,1,0.989312,39.7038
fawkes,facenet,Vaclav_Havel,results/privacy/cloaked_images/fawkes/facenet/Vaclav_Havel_0002_cloaked.png,1,0.990246,41.4435
fawkes,facenet,Vaclav_Havel,results/privacy/cloaked_images/fawkes/facenet/Vaclav_Havel_0003_cloaked.png,1,0.989838,42.2691
fawkes,facenet,Vaclav_Havel,results/privacy/cloaked_images/fawkes/facenet/Vaclav_Havel_0007_cloaked.png,1,0.991424,44.4241
fawkes,facenet,Vaclav_Havel,results/privacy/cloaked_images/fawkes/facenet/Vaclav_Havel_0009_cloaked.png,1,0.991604,45.1284
fawkes,facenet,Bill_Simon,results/privacy/cloaked_images/fawkes/facenet/Bill_Simon_0004_cloaked.png,1,0.987514,39.1895
fawkes,facenet,Bill_Simon,results/privacy/cloaked_images/fawkes/facenet/Bill_Simon_0007_cloaked.png,1,0.994060,47.0370
fawkes,facenet,Bill_Simon,results/privacy/cloaked_images/fawkes/facenet/Bill_Simon_0011_cloaked.png,1,0.993233,45.0681
fawkes,facenet,Bill_Simon,results/privacy/cloaked_images/fawkes/facenet/Bill_Simon_0013_cloaked.png,1,0.989612,43.3646
fawkes,facenet,Bill_Simon,results/privacy/cloaked_images/fawkes/facenet/Bill_Simon_0015_cloaked.png,1,0.990979,43.6813
fawkes,facenet,Ahmed_Chalabi,results/privacy/cloaked_images/fawkes/facenet/Ahmed_Chalabi_0001_cloaked.png,1,0.990712,44.6669
fawkes,facenet,Ahmed_Chalabi,results/privacy/cloaked_images/fawkes/facenet/Ahmed_Chalabi_0002_cloaked.png,1,0.995516,48.1369
fawkes,facenet,Ahmed_Chalabi,results/privacy/cloaked_images/fawkes/facenet/Ahmed_Chalabi_0003_cloaked.png,1,0.991679,44.5074
fawkes,facenet,Ahmed_Chalabi,results/privacy/cloaked_images/fawkes/facenet/Ahmed_Chalabi_0004_cloaked.png,1,0.992983,42.7405
fawkes,facenet,Ahmed_Chalabi,results/privacy/cloaked_images/fawkes/facenet/Ahmed_Chalabi_0005_cloaked.png,1,0.992799,44.0004
fawkes,facenet,Monica_Seles,results/privacy/cloaked_images/fawkes/facenet/Monica_Seles_0001_cloaked.png,1,0.991460,43.4616
fawkes,facenet,Monica_Seles,results/privacy/cloaked_images/fawkes/facenet/Monica_Seles_0002_cloaked.png,1,0.991755,44.3348
fawkes,facenet,Monica_Seles,results/privacy/cloaked_images/fawkes/facenet/Monica_Seles_0004_cloaked.png,1,0.991011,41.3123
fawkes,facenet,Monica_Seles,results/privacy/cloaked_images/fawkes/facenet/Monica_Seles_0005_cloaked.png,1,0.989584,42.0590
fawkes,facenet,Monica_Seles,results/privacy/cloaked_images/fawkes/facenet/Monica_Seles_0006_cloaked.png,1,0.994711,46.9952
fawkes,facenet,David_Wells,results/privacy/cloaked_images/fawkes/facenet/David_Wells_0001_cloaked.png,1,0.989031,41.7715
fawkes,facenet,David_Wells,results/privacy/cloaked_images/fawkes/facenet/David_Wells_0002_cloaked.png,1,0.992215,47.0951
fawkes,facenet,David_Wells,results/privacy/cloaked_images/fawkes/facenet/David_Wells_0003_cloaked.png,1,0.990550,44.2235
fawkes,facenet,David_Wells,results/privacy/cloaked_images/fawkes/facenet/David_Wells_0005_cloaked.png,1,0.994739,49.2545
fawkes,facenet,David_Wells,results/privacy/cloaked_images/fawkes/facenet/David_Wells_0007_cloaked.png,1,0.989994,42.9885
fawkes,facenet,Vincent_Brooks,results/privacy/cloaked_images/fawkes/facenet/Vincent_Brooks_0002_cloaked.png,1,0.981660,38.3662
fawkes,facenet,Vincent_Brooks,results/privacy/cloaked_images/fawkes/facenet/Vincent_Brooks_0003_cloaked.png,1,0.991124,39.2831
fawkes,facenet,Vincent_Brooks,results/privacy/cloaked_images/fawkes/facenet/Vincent_Brooks_0004_cloaked.png,1,0.989044,39.3641
fawkes,facenet,Vincent_Brooks,results/privacy/cloaked_images/fawkes/facenet/Vincent_Brooks_0006_cloaked.png,1,0.991844,45.3329
fawkes,facenet,Vincent_Brooks,results/privacy/cloaked_images/fawkes/facenet/Vincent_Brooks_0007_cloaked.png,1,0.988295,38.1049
fawkes,facenet,Ricardo_Sanchez,results/privacy/cloaked_images/fawkes/facenet/Ricardo_Sanchez_0001_cloaked.png,1,0.989539,39.0257
fawkes,facenet,Ricardo_Sanchez,results/privacy/cloaked_images/fawkes/facenet/Ricardo_Sanchez_0002_cloaked.png,1,0.993396,44.5726
fawkes,facenet,Ricardo_Sanchez,results/privacy/cloaked_images/fawkes/facenet/Ricardo_Sanchez_0003_cloaked.png,1,0.991278,42.5211
fawkes,facenet,Ricardo_Sanchez,results/privacy/cloaked_images/fawkes/facenet/Ricardo_Sanchez_0004_cloaked.png,1,0.991480,41.8795
fawkes,facenet,Ricardo_Sanchez,results/privacy/cloaked_images/fawkes/facenet/Ricardo_Sanchez_0005_cloaked.png,1,0.993009,45.7927
fawkes,facenet,Edmund_Stoiber,results/privacy/cloaked_images/fawkes/facenet/Edmund_Stoiber_0001_cloaked.png,1,0.991123,45.5511
fawkes,facenet,Edmund_Stoiber,results/privacy/cloaked_images/fawkes/facenet/Edmund_Stoiber_0002_cloaked.png,1,0.991382,43.6384
