method,recognizer,identity_id,image_path,correct,ssim,psnr
pgd_targeted,facenet,Justine_Pasek,results/privacy/cloaked_images/pgd_targeted/facenet/Justine_Pasek_0001.png,0,0.855587,33.2970
pgd_targeted,facenet,Justine_Pasek,results/privacy/cloaked_images/pgd_targeted/facenet/Justine_Pasek_0003.png,0,0.870455,32.8119
pgd_targeted,facenet,Justine_Pasek,results/privacy/cloaked_images/pgd_targeted/facenet/Justine_Pasek_0005.png,0,0.885864,33.5158
pgd_targeted,facenet,Justine_Pasek,results/privacy/cloaked_images/pgd_targeted/facenet/Justine_Pasek_0006.png,0,0.890839,33.8618
pgd_targeted,facenet,Justine_Pasek,results/privacy/cloaked_images/pgd_targeted/facenet/Justine_Pasek_0007.png,0,0.885246,33.0610
pgd_targeted,facenet,Allyson_Felix,results/privacy/cloaked_images/pgd_targeted/facenet/Allyson_Felix_0001.png,0,0.862040,33.5753
pgd_targeted,facenet,Allyson_Felix,results/privacy/cloaked_images/pgd_targeted/facenet/Allyson_Felix_0002.png,0,0.848848,33.6020
pgd_targeted,facenet,Allyson_Felix,results/privacy/cloaked_images/pgd_targeted/facenet/Allyson_Felix_0003.png,0,0.864361,33.3801
pgd_targeted,facenet,Allyson_Felix,results/privacy/cloaked_images/pgd_targeted/facenet/Allyson_Felix_0004.png,0,0.839838,33.1322
pgd_targeted,facenet,Allyson_Felix,results/privacy/cloaked_images/pgd_targeted/facenet/Allyson_Felix_0005.png,0,0.854105,33.5485
pgd_targeted,facenet,Hitomi_Soga,results/privacy/cloaked_images/pgd_targeted/facenet/Hitomi_Soga_0001.png,0,0.834683,33.6891
pgd_targeted,facenet,Hitomi_Soga,results/privacy/cloaked_images/pgd_targeted/facenet/Hitomi_Soga_0002.png,0,0.856512,33.4438
pgd_targeted,facenet,Hitomi_Soga,results/privacy/cloaked_images/pgd_targeted/facenet/Hitomi_Soga_0003.png,0,0.863782,33.5454
pgd_targeted,facenet,Hitomi_Soga,results/privacy/cloaked_images/pgd_targeted/facenet/Hitomi_Soga_0004.png,0,0.839166,33.4863
pgd_targeted,facenet,Hitomi_Soga,results/privacy/cloaked_images/pgd_targeted/facenet/Hitomi_Soga_0005.png,0,0.843300,33.6944
pgd_targeted,facenet,Mariah_Carey,results/privacy/cloaked_images/pgd_targeted/facenet/Mariah_Carey_0001.png,0,0.888744,33.3390
pgd_targeted,facenet,Mariah_Carey,results/privacy/cloaked_images/pgd_targeted/facenet/Mariah_Carey_0002.png,0,0.869121,33.3846
pgd_targeted,facenet,Mariah_Carey,results/privacy/cloaked_images/pgd_targeted/facenet/Mariah_Carey_0003.png,0,0.882943,33.5129
pgd_targeted,facenet,Mariah_Carey,results/privacy/cloaked_images/pgd_targeted/facenet/Mariah_Carey_0005.png,0,0.898737,33.3380
pgd_targeted,facenet,Mariah_Carey,results/privacy/cloaked_images/pgd_targeted/facenet/Mariah_Carey_0006.png,0,0.859777,33.1490
pgd_targeted,facenet,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_targeted/facenet/Marco_Antonio_Barrera_0001.png,0,0.861777,33.8184
pgd_targeted,facenet,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_targeted/facenet/Marco_Antonio_Barrera_0002.png,0,0.884214,33.2165
pgd_targeted,facenet,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_targeted/facenet/Marco_Antonio_Barrera_0003.png,0,0.897301,33.0896
pgd_targeted,facenet,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_targeted/facenet/Marco_Antonio_Barrera_0004.png,0,0.866308,33.1942
pgd_targeted,facenet,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_targeted/facenet/Marco_Antonio_Barrera_0005.png,0,0.862092,33.2632
pgd_targeted,facenet,Vaclav_Havel,results/privacy/cloaked_images/pgd_targeted/facenet/Vaclav_Havel_0001.png,0,0.867408,33.4445
pgd_targeted,facenet,Vaclav_Havel,results/privacy/cloaked_images/pgd_targeted/facenet/Vaclav_Havel_0002.png,0,0.870373,33.5132
pgd_targeted,facenet,Vaclav_Havel,results/privacy/cloaked_images/pgd_targeted/facenet/Vaclav_Havel_0003.png,0,0.855812,33.6544
pgd_targeted,facenet,Vaclav_Havel,results/privacy/cloaked_images/pgd_targeted/facenet/Vaclav_Havel_0007.png,0,0.847884,33.5892
pgd_targeted,facenet,Vaclav_Havel,results/privacy/cloaked_images/pgd_targeted/facenet/Vaclav_Havel_0009.png,0,0.844635,33.8004
pgd_targeted,facenet,Bill_Simon,results/privacy/cloaked_images/pgd_targeted/facenet/Bill_Simon_0004.png,0,0.878848,33.5589
pgd_targeted,facenet,Bill_Simon,results/privacy/cloaked_images/pgd_targeted/facenet/Bill_Simon_0007.png,0,0.869946,33.0964
pgd_targeted,facenet,Bill_Simon,results/privacy/cloaked_images/pgd_targeted/facenet/Bill_Simon_0011.png,0,0.876343,33.5781
pgd_targeted,facenet,Bill_Simon,results/privacy/cloaked_images/pgd_targeted/facenet/Bill_Simon_0013.png,0,0.852828,33.8373
pgd_targeted,facenet,Bill_Simon,results/privacy/cloaked_images/pgd_targeted/facenet/Bill_Simon_0015.png,0,0.862535,33.5752
