method,recognizer,identity_id,image_path,correct,ssim,psnr
pgd_untargeted,arcface,Justine_Pasek,results/privacy/cloaked_images/pgd_untargeted/arcface/Justine_Pasek_0001.png,1,0.888372,33.5751
pgd_untargeted,arcface,Justine_Pasek,results/privacy/cloaked_images/pgd_untargeted/arcface/Justine_Pasek_0003.png,1,0.910806,33.4319
pgd_untargeted,arcface,Justine_Pasek,results/privacy/cloaked_images/pgd_untargeted/arcface/Justine_Pasek_0005.png,1,0.915369,33.5101
pgd_untargeted,arcface,Justine_Pasek,results/privacy/cloaked_images/pgd_untargeted/arcface/Justine_Pasek_0006.png,1,0.911546,33.4550
pgd_untargeted,arcface,Justine_Pasek,results/privacy/cloaked_images/pgd_untargeted/arcface/Justine_Pasek_0007.png,1,0.917092,33.5479
pgd_untargeted,arcface,Allyson_Felix,results/privacy/cloaked_images/pgd_untargeted/arcface/Allyson_Felix_0001.png,1,0.892737,33.5355
pgd_untargeted,arcface,Allyson_Felix,results/privacy/cloaked_images/pgd_untargeted/arcface/Allyson_Felix_0002.png,1,0.875196,33.4629
pgd_untargeted,arcface,Allyson_Felix,results/privacy/cloaked_images/pgd_untargeted/arcface/Allyson_Felix_0003.png,1,0.896780,33.4825
pgd_untargeted,arcface,Allyson_Felix,results/privacy/cloaked_images/pgd_untargeted/arcface/Allyson_Felix_0004.png,1,0.877154,33.3532
pgd_untargeted,arcface,Allyson_Felix,results/privacy/cloaked_images/pgd_untargeted/arcface/Allyson_Felix_0005.png,1,0.893881,33.9543
pgd_untargeted,arcface,Hitomi_Soga,results/privacy/cloaked_images/pgd_untargeted/arcface/Hitomi_Soga_0001.png,1,0.864331,33.7583
pgd_untargeted,arcface,Hitomi_Soga,results/privacy/cloaked_images/pgd_untargeted/arcface/Hitomi_Soga_0002.png,1,0.894666,33.6301
pgd_untargeted,arcface,Hitomi_Soga,results/privacy/cloaked_images/pgd_untargeted/arcface/Hitomi_Soga_0003.png,1,0.894053,33.7527
pgd_untargeted,arcface,Hitomi_Soga,results/privacy/cloaked_images/pgd_untargeted/arcface/Hitomi_Soga_0004.png,1,0.868320,33.6816
pgd_untargeted,arcface,Hitomi_Soga,results/privacy/cloaked_images/pgd_untargeted/arcface/Hitomi_Soga_0005.png,1,0.875736,33.8225
pgd_untargeted,arcface,Mariah_Carey,results/privacy/cloaked_images/pgd_untargeted/arcface/Mariah_Carey_0001.png,0,0.920808,33.7692
pgd_untargeted,arcface,Mariah_Carey,results/privacy/cloaked_images/pgd_untargeted/arcface/Mariah_Carey_0002.png,1,0.900734,33.5137
pgd_untargeted,arcface,Mariah_Carey,results/privacy/cloaked_images/pgd_untargeted/arcface/Mariah_Carey_0003.png,1,0.906774,33.4090
pgd_untargeted,arcface,Mariah_Carey,results/privacy/cloaked_images/pgd_untargeted/arcface/Mariah_Carey_0005.png,1,0.924618,33.2438
pgd_untargeted,arcface,Mariah_Carey,results/privacy/cloaked_images/pgd_untargeted/arcface/Mariah_Carey_0006.png,1,0.896987,33.5681
pgd_untargeted,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_untargeted/arcface/Marco_Antonio_Barrera_0001.png,1,0.890579,33.6968
pgd_untargeted,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_untargeted/arcface/Marco_Antonio_Barrera_0002.png,1,0.924953,33.5544
pgd_untargeted,arcface,Marco_Antonio_Barrera,results/privacy/cloaked_images/pgd_untargeted/arcface/Marco_Antonio_Barrera_0003.png,1,0.928990,33.3141
